Date,Mean Temperature (C),Temperature Count,Mean Pressure (mbar),Pressure Count,Mean Precipitation (mm),Sum Precipitation (mm),Precipitation Count,Mean Sea Surface Temperature (C),Sea Surface Temperature Count,Mean Windspeed (knots),Windspeed Count
1981-07-01,-6.8,,,,,,,,,,
1981-08-01,-8.8,,,,,,,,,,
1981-09-01,-8.3,,,,,,,,,,
1981-10-01,-5.3,,,,,,,,,,
1981-11-01,-2.4,,,,,,,,,,
1981-12-01,-0.8,,,,,,,,,,
1982-01-01,-0.2,,,,,,,,,,
1982-02-01,,,,,,,,,,,
1982-03-01,,,,,,,,,,,
1982-04-01,,,,,,,,,,,
1982-05-01,-0.5,,,,,,,,,,
1982-06-01,-0.8,,,,,,,,,,
1982-07-01,,,,,,,,,,,
1982-08-01,-7.9,,,,,,,,,,
1982-09-01,-7.9,,,,,,,,,,
1982-10-01,-5.5,,,,,,,,,,
1982-11-01,-2.0,,,,,,,,,,
1982-12-01,2.1,,,,,,,,,,
1983-01-01,2.8,,,,,,,,,,
1983-02-01,1.2,,,,,,,,,,
1983-03-01,0.0,,,,,,,,,,
1983-04-01,-1.2,,,,,,,,,,
1983-05-01,-2.1,,,,,,,,,,
1983-06-01,-3.0,,,,,,,,,,
1983-07-01,-2.9,,,,,,,,,,
1983-08-01,-4.3,,,,,,,,,,
1983-09-01,-4.1,,,,,,,,,,
1983-10-01,-2.8,,,,,,,,,,
1983-11-01,0.3,,,,,,,,,,
1983-12-01,1.8,,,,,,,,,,
1984-01-01,2.9,,,,,,,,,,
1984-02-01,2.8,,,,,,,,,,
1984-03-01,1.4,,,,,,,,,,
1984-04-01,-1.7,,,,,,,,,,
1984-05-01,-3.3,,,,,,,,,,
1984-06-01,-6.7,,,,,,,,,,
1984-07-01,-7.4,,,,,,,,,,
1984-08-01,-6.7,,,,,,,,,,
1984-09-01,-3.4,,,,,,,,,,
1984-10-01,-3.3,,,,,,,,,,
1984-11-01,0.9,,,,,,,,,,
1984-12-01,3.7,,,,,,,,,,
1985-01-01,4.2,,,,,,,,,,
1985-02-01,3.7,,,,,,,,,,
1985-03-01,0.9,,,,,,,,,,
1985-04-01,0.0,,,,,,,,,,
1985-05-01,-4.3,,,,,,,,,,
1985-06-01,-3.7,,,,,,,,,,
1985-07-01,-5.9,,,,,,,,,,
1985-08-01,-5.9,,,,,,,,,,
1985-09-01,-1.4,,,,,,,,,,
1985-10-01,-0.7,,,,,,,,,,
1985-11-01,2.5,,,,,,,,,,
1985-12-01,3.7,,,,,,,,,,
1986-01-01,5.2,,,,,,,,,,
1986-02-01,3.9,,,,,,,,,,
1986-03-01,3.3,,,,,,,,,,
1986-04-01,-0.4,,,,,,,,,,
1986-05-01,-4.7,,,,,,,,,,
1986-06-01,-4.5,,,,,,,,,,
1986-07-01,-6.9,,,,,,,,,,
1986-08-01,-9.1,,,,,,,,,,
1986-09-01,-9.0,,,,,,,,,,
1986-10-01,-2.8,,,,,,,,,,
1986-11-01,,,,,,,,,,,
1986-12-01,,,,,,,,,,,
1987-01-01,,,,,,,,,,,
1987-02-01,1.9,,,,,,,,,,
1987-03-01,,,,,,,,,,,
1987-04-01,-1.9,,,,,,,,,,
1987-05-01,-2.8,,,,,,,,,,
1987-06-01,-7.1,,,,,,,,,,
1987-07-01,,,,,,,,,,,
1987-08-01,-7.8,,,,,,,,,,
1987-09-01,-9.9,,,,,,,,,,
1987-10-01,-1.4,,,,,,,,,,
1987-11-01,0.8,,,,,,,,,,
1987-12-01,1.8,,,,,,,,,,
1988-01-01,2.3,,,,,,,,,,
1988-02-01,2.7,,,,,,,,,,
1988-03-01,1.2,,,,,,,,,,
1988-04-01,-0.1,,,,,,,,,,
1988-05-01,-1.3,,,,,,,,,,
1988-06-01,-2.9,,,,,,,,,,
1988-07-01,-3.0,,,,,,,,,,
1988-08-01,-6.8,,,,,,,,,,
1988-09-01,-2.2,,,,,,,,,,
1988-10-01,0.0,,,,,,,,,,
1988-11-01,,,,,,,,,,,
1988-12-01,,,,,,,,,,,
1989-01-01,,,,,,,,,,,
1989-02-01,4.1,,,,,,,,,,
1989-03-01,,,,,,,,,,,
1989-04-01,-1.88,30.0,992.05,30.0,0.64,19.3,30.0,,0.0,8.8,30.0
1989-05-01,-1.04,31.0,982.24,31.0,1.28,39.7,31.0,,0.0,20.23,31.0
1989-06-01,-2.36,30.0,982.96,30.0,2.29,68.6,30.0,,0.0,15.23,30.0
1989-07-01,-1.65,31.0,992.08,31.0,1.32,40.8,31.0,,0.0,16.29,31.0
1989-08-01,-2.39,31.0,998.23,31.0,1.27,39.5,31.0,,0.0,10.87,31.0
1989-09-01,-2.4,30.0,989.73,30.0,1.15,34.6,30.0,,0.0,14.73,30.0
1989-10-01,-0.4,31.0,982.5,31.0,3.03,93.8,31.0,,0.0,17.29,31.0
1989-11-01,1.1,30.0,984.09,30.0,0.82,24.6,30.0,,0.0,9.13,30.0
1989-12-01,2.61,31.0,992.6,31.0,0.89,27.6,31.0,,0.0,8.55,31.0
1990-01-01,3.64,31.0,992.4,31.0,1.45,45.0,31.0,,0.0,6.32,31.0
1990-02-01,3.62,28.0,990.18,28.0,2.07,57.9,28.0,,0.0,13.75,28.0
1990-03-01,1.87,31.0,983.86,31.0,2.42,74.9,31.0,,0.0,12.97,31.0
1990-04-01,-2.5,30.0,992.1,30.0,0.56,16.9,30.0,,0.0,9.3,30.0
1990-05-01,-3.01,31.0,1003.25,31.0,0.73,22.6,31.0,,0.0,9.13,31.0
1990-06-01,-3.41,30.0,981.42,30.0,1.15,34.4,30.0,,0.0,13.3,30.0
1990-07-01,-2.91,31.0,989.13,31.0,1.25,38.6,31.0,,0.0,11.0,31.0
1990-08-01,-6.31,31.0,978.39,31.0,1.33,41.2,31.0,,0.0,14.32,31.0
1990-09-01,-4.66,30.0,992.88,30.0,1.21,36.3,30.0,,0.0,9.53,30.0
1990-10-01,-2.24,31.0,974.53,31.0,2.1,65.2,31.0,,0.0,11.26,31.0
1990-11-01,-1.4,30.0,970.61,30.0,1.17,35.2,30.0,,0.0,12.4,30.0
1990-12-01,1.59,31.0,986.33,31.0,1.83,56.7,31.0,,0.0,7.1,31.0
1991-01-01,3.09,31.0,983.83,31.0,3.2,99.2,31.0,,0.0,12.55,31.0
1991-02-01,2.59,28.0,989.61,28.0,1.6,44.8,28.0,,0.0,9.11,28.0
1991-03-01,0.85,31.0,987.77,31.0,1.71,53.0,31.0,,0.0,11.68,31.0
1991-04-01,-1.09,30.0,989.96,30.0,1.94,58.2,30.0,,0.0,10.8,30.0
1991-05-01,-5.12,31.0,986.77,31.0,1.18,36.7,31.0,,0.0,13.94,31.0
1991-06-01,-7.4,30.0,989.93,30.0,1.34,40.2,30.0,,0.0,15.73,30.0
1991-07-01,-6.13,31.0,992.1,31.0,1.4,43.3,31.0,,0.0,14.0,31.0
1991-08-01,-6.52,31.0,984.51,31.0,3.84,119.1,31.0,,0.0,19.42,31.0
1991-09-01,-4.24,30.0,995.73,30.0,1.41,42.4,30.0,,0.0,11.67,30.0
1991-10-01,-5.22,31.0,985.47,31.0,1.51,46.9,31.0,,0.0,12.35,31.0
1991-11-01,-0.46,30.0,985.09,30.0,2.86,85.9,30.0,-1.15,30.0,14.23,30.0
1991-12-01,1.44,31.0,997.65,31.0,0.06,1.8,31.0,0.18,31.0,6.0,31.0
1992-01-01,2.58,31.0,988.45,31.0,3.75,116.4,31.0,0.8,30.0,8.16,31.0
1992-02-01,1.28,29.0,985.13,29.0,3.08,89.4,29.0,0.64,29.0,9.31,29.0
1992-03-01,-0.34,31.0,989.09,31.0,2.57,79.6,31.0,0.26,30.0,11.35,31.0
1992-04-01,-0.86,30.0,992.47,30.0,4.43,133.0,30.0,-0.25,30.0,9.4,30.0
1992-05-01,-5.8,31.0,998.04,31.0,1.21,37.6,31.0,-1.15,31.0,6.68,31.0
1992-06-01,-8.08,30.0,1001.5,30.0,0.74,22.3,30.0,-1.61,23.0,7.2,30.0
1992-07-01,-8.36,31.0,994.62,31.0,2.4,74.3,31.0,-1.57,15.0,10.39,31.0
1992-08-01,-6.29,31.0,988.56,31.0,1.54,47.6,31.0,-1.55,26.0,13.19,31.0
1992-09-01,-4.27,30.0,984.38,30.0,2.51,75.3,30.0,-1.37,25.0,15.73,30.0
1992-10-01,-1.5,31.0,983.4,31.0,0.84,25.9,31.0,-0.64,28.0,13.52,31.0
1992-11-01,0.12,30.0,991.47,30.0,2.41,72.2,30.0,-0.57,30.0,13.67,30.0
1992-12-01,3.33,31.0,992.47,31.0,2.72,84.3,31.0,0.42,31.0,12.45,31.0
1993-01-01,3.18,31.0,995.13,31.0,1.58,48.9,31.0,1.48,31.0,6.13,31.0
1993-02-01,2.45,28.0,993.68,28.0,1.6,44.9,28.0,1.16,28.0,7.86,28.0
1993-03-01,-0.05,31.0,985.78,31.0,5.13,158.9,31.0,0.14,31.0,11.9,31.0
1993-04-01,-0.99,30.0,984.55,30.0,3.72,111.5,30.0,-0.48,30.0,9.97,30.0
1993-05-01,-2.39,31.0,984.79,31.0,5.12,158.8,31.0,-0.81,31.0,12.81,31.0
1993-06-01,-4.97,30.0,990.12,30.0,4.4,132.1,30.0,-1.4,30.0,10.1,30.0
1993-07-01,-4.28,31.0,988.95,31.0,2.12,65.7,31.0,-1.31,31.0,13.16,31.0
1993-08-01,-4.66,31.0,985.27,31.0,1.85,57.4,31.0,-1.21,29.0,11.29,31.0
1993-09-01,-4.64,30.0,982.25,30.0,1.83,54.8,30.0,-1.38,26.0,11.53,30.0
1993-10-01,-3.32,31.0,984.48,31.0,2.73,84.7,31.0,-1.21,31.0,9.42,31.0
1993-11-01,0.79,30.0,980.12,30.0,3.67,110.1,30.0,-0.5,30.0,16.57,30.0
1993-12-01,1.13,31.0,983.73,31.0,0.52,16.1,31.0,1.08,31.0,7.84,31.0
1994-01-01,2.15,31.0,983.6,31.0,2.82,87.3,31.0,1.32,31.0,8.77,31.0
1994-02-01,2.04,28.0,983.74,28.0,2.64,73.9,28.0,1.26,28.0,9.39,28.0
1994-03-01,0.83,31.0,991.82,31.0,2.91,90.2,31.0,0.62,31.0,9.45,31.0
1994-04-01,-0.8,30.0,992.04,30.0,1.95,58.5,30.0,0.09,30.0,9.7,30.0
1994-05-01,-3.19,31.0,994.69,31.0,0.18,5.5,31.0,-0.58,31.0,9.0,31.0
1994-06-01,-4.58,30.0,993.94,30.0,1.58,47.4,30.0,-0.9,28.0,10.23,30.0
1994-07-01,-10.99,31.0,994.13,31.0,1.64,50.7,31.0,-1.65,31.0,9.45,31.0
1994-08-01,-6.61,31.0,983.98,31.0,2.95,91.6,31.0,-1.99,31.0,15.03,31.0
1994-09-01,-6.15,30.0,977.53,30.0,1.35,40.6,30.0,-1.33,28.0,13.23,30.0
1994-10-01,-6.65,31.0,987.97,31.0,1.2,37.2,31.0,-0.96,25.0,7.97,31.0
1994-11-01,1.72,30.0,990.03,30.0,2.78,83.5,30.0,-0.38,28.0,10.3,30.0
1994-12-01,1.81,31.0,986.13,31.0,1.01,31.4,31.0,0.1,27.0,8.9,31.0
1995-01-01,3.47,31.0,988.81,31.0,2.64,81.8,31.0,1.32,26.0,10.45,31.0
1995-02-01,2.39,28.0,988.49,28.0,2.29,64.2,28.0,1.49,25.0,9.89,28.0
1995-03-01,0.06,31.0,982.36,31.0,1.65,51.0,31.0,,0.0,11.19,31.0
1995-04-01,-0.14,30.0,987.97,30.0,2.91,87.3,30.0,-0.05,28.0,12.47,30.0
1995-05-01,-2.47,31.0,990.23,31.0,1.8,55.7,31.0,,0.0,11.03,31.0
1995-06-01,-5.98,30.0,988.78,30.0,1.37,41.2,30.0,,0.0,8.37,30.0
1995-07-01,-8.48,31.0,988.15,31.0,1.35,41.7,31.0,-1.77,31.0,9.58,31.0
1995-08-01,-12.43,31.0,992.9,31.0,1.56,48.4,31.0,-1.97,31.0,9.68,31.0
1995-09-01,-8.24,30.0,984.65,30.0,2.46,73.9,30.0,-1.91,30.0,13.17,30.0
1995-10-01,-2.72,31.0,989.38,31.0,1.98,61.4,31.0,-1.24,31.0,11.48,31.0
1995-11-01,-1.37,30.0,980.31,30.0,1.19,35.7,30.0,-0.33,30.0,9.53,30.0
1995-12-01,1.07,31.0,983.53,31.0,1.87,58.1,31.0,0.42,31.0,8.26,31.0
1996-01-01,2.4,31.0,988.94,31.0,2.53,78.5,31.0,1.52,31.0,8.1,31.0
1996-02-01,2.12,29.0,986.55,29.0,2.79,80.8,29.0,1.67,29.0,8.31,29.0
1996-03-01,1.24,31.0,982.91,31.0,2.37,73.5,31.0,1.41,31.0,10.42,31.0
1996-04-01,-1.09,30.0,994.54,30.0,2.27,68.1,30.0,-0.26,30.0,9.0,30.0
1996-05-01,-1.41,31.0,982.39,31.0,2.04,63.3,31.0,-0.83,31.0,15.48,31.0
1996-06-01,-3.32,30.0,991.43,30.0,1.14,34.2,30.0,-1.48,30.0,10.83,30.0
1996-07-01,-4.91,31.0,987.01,31.0,1.68,52.1,31.0,-1.79,31.0,15.39,31.0
1996-08-01,-5.66,31.0,987.74,31.0,1.0,31.0,31.0,-1.87,31.0,10.68,31.0
1996-09-01,-1.43,30.0,990.09,30.0,2.86,85.8,30.0,-1.84,30.0,16.4,30.0
1996-10-01,-2.37,31.0,981.69,31.0,1.7,52.8,31.0,-1.84,31.0,14.26,31.0
1996-11-01,-0.42,30.0,974.54,30.0,1.29,38.8,30.0,-0.83,30.0,11.13,30.0
1996-12-01,1.63,31.0,986.68,31.0,1.45,45.1,31.0,-0.03,31.0,8.39,31.0
1997-01-01,2.85,31.0,985.47,31.0,1.01,31.4,31.0,0.92,31.0,7.87,31.0
1997-02-01,1.74,28.0,991.27,28.0,2.67,74.7,28.0,0.93,28.0,7.46,28.0
1997-03-01,0.45,31.0,988.46,31.0,2.52,78.2,31.0,-0.14,31.0,11.19,31.0
1997-04-01,-1.48,30.0,983.49,30.0,1.93,57.8,30.0,-0.7,30.0,8.63,30.0
1997-05-01,-2.51,31.0,997.11,31.0,1.53,47.4,31.0,-1.18,31.0,10.55,31.0
1997-06-01,-3.76,30.0,1000.86,30.0,1.82,54.5,30.0,-1.45,30.0,8.73,30.0
1997-07-01,-7.79,31.0,987.07,31.0,1.9,58.8,31.0,-1.83,30.0,12.16,31.0
1997-08-01,-6.86,31.0,982.33,31.0,1.69,52.3,31.0,-1.9,31.0,14.77,31.0
1997-09-01,-8.65,30.0,992.42,30.0,1.37,41.2,30.0,-1.95,30.0,8.13,30.0
1997-10-01,-2.85,31.0,987.65,31.0,1.95,60.3,31.0,-1.34,30.0,10.94,31.0
1997-11-01,-1.63,30.0,994.67,30.0,1.37,41.1,30.0,-1.43,29.0,6.13,30.0
1997-12-01,1.53,31.0,996.33,31.0,0.68,21.1,31.0,0.69,25.0,5.58,31.0
1998-01-01,2.94,31.0,982.89,31.0,1.74,53.9,31.0,0.86,31.0,5.39,31.0
1998-02-01,2.07,28.0,992.57,28.0,4.19,117.4,28.0,0.65,28.0,7.43,28.0
1998-03-01,1.04,31.0,988.04,31.0,2.09,64.9,31.0,-0.01,31.0,9.26,31.0
1998-04-01,0.49,30.0,990.63,30.0,4.41,132.3,30.0,-0.87,29.0,16.1,30.0
1998-05-01,-2.77,31.0,999.25,31.0,2.22,68.7,31.0,-1.29,31.0,8.97,31.0
1998-06-01,-1.03,30.0,993.1,30.0,2.52,75.5,30.0,-1.47,30.0,9.43,30.0
1998-07-01,-3.56,31.0,974.18,31.0,1.29,40.0,31.0,-1.75,31.0,12.23,31.0
1998-08-01,-4.86,31.0,981.49,31.0,1.3,40.2,31.0,-2.16,31.0,10.55,31.0
1998-09-01,-5.49,30.0,986.39,30.0,1.78,53.5,30.0,-1.94,30.0,12.47,30.0
1998-10-01,-1.59,31.0,976.71,31.0,0.94,29.0,31.0,-1.61,31.0,11.26,31.0
1998-11-01,-0.08,30.0,980.69,30.0,1.28,38.5,30.0,-1.49,28.0,8.27,30.0
1998-12-01,1.2,31.0,980.3,31.0,0.85,26.5,31.0,-0.86,31.0,6.52,31.0
1999-01-01,2.44,31.0,986.21,31.0,2.58,79.9,31.0,0.23,31.0,8.94,31.0
1999-02-01,2.15,28.0,980.32,28.0,3.22,90.2,28.0,0.57,27.0,10.11,28.0
1999-03-01,1.56,31.0,991.04,31.0,4.47,138.5,31.0,0.51,31.0,11.32,31.0
1999-04-01,0.25,30.0,983.66,30.0,4.48,134.4,30.0,-0.3,30.0,13.23,30.0
1999-05-01,-0.62,31.0,988.76,31.0,1.43,44.3,31.0,-0.81,31.0,12.23,31.0
1999-06-01,-3.83,30.0,994.06,30.0,1.66,49.9,30.0,-1.29,30.0,11.8,30.0
1999-07-01,-3.64,31.0,985.4,31.0,2.61,80.8,31.0,-1.72,31.0,13.9,31.0
1999-08-01,-8.12,31.0,987.58,31.0,1.25,38.9,31.0,-1.98,31.0,13.06,31.0
1999-09-01,-6.82,30.0,989.09,30.0,1.94,58.1,30.0,-1.74,30.0,10.23,30.0
1999-10-01,-2.18,31.0,982.7,31.0,1.36,42.2,31.0,-1.77,31.0,11.35,31.0
1999-11-01,-0.03,30.0,982.96,30.0,2.79,83.7,30.0,-1.39,30.0,12.17,30.0
1999-12-01,1.06,31.0,979.31,31.0,2.06,64.0,31.0,-0.56,31.0,9.19,31.0
2000-01-01,1.68,31.0,977.74,31.0,1.75,54.1,31.0,0.71,31.0,9.87,31.0
2000-02-01,1.81,29.0,992.19,29.0,2.77,80.3,29.0,0.73,29.0,9.69,29.0
2000-03-01,0.8,31.0,999.26,31.0,2.26,70.0,31.0,0.59,31.0,9.9,31.0
2000-04-01,-0.53,30.0,983.3,30.0,4.16,124.7,30.0,-0.23,30.0,13.4,30.0
2000-05-01,-2.06,31.0,994.06,31.0,2.7,83.7,31.0,-0.93,31.0,10.16,31.0
2000-06-01,-2.83,30.0,992.06,30.0,2.13,63.9,30.0,-1.35,30.0,14.2,30.0
2000-07-01,-3.24,31.0,1000.82,31.0,0.82,25.3,31.0,-1.54,31.0,9.16,31.0
2000-08-01,-5.42,31.0,988.35,31.0,0.88,27.3,31.0,-1.9,31.0,12.0,31.0
2000-09-01,-6.8,30.0,998.68,30.0,0.93,28.0,30.0,-1.84,30.0,11.4,30.0
2000-10-01,-1.36,31.0,985.59,31.0,1.69,52.3,31.0,-1.4,31.0,8.23,31.0
2000-11-01,-0.32,30.0,991.18,30.0,1.52,45.7,30.0,-0.78,30.0,6.57,30.0
2000-12-01,1.89,31.0,986.09,31.0,0.33,10.1,31.0,0.84,31.0,6.65,31.0
2001-01-01,2.53,31.0,985.86,31.0,0.7,21.8,31.0,1.69,31.0,4.87,31.0
2001-02-01,2.65,28.0,985.67,28.0,1.13,31.6,28.0,1.74,28.0,8.32,28.0
2001-03-01,1.62,31.0,982.83,31.0,2.47,76.5,31.0,1.48,26.0,11.84,31.0
2001-04-01,-1.55,30.0,983.08,30.0,2.27,68.0,30.0,0.33,28.0,11.47,30.0
2001-05-01,-0.17,31.0,993.51,31.0,1.11,34.3,31.0,-0.36,31.0,12.16,31.0
2001-06-01,-4.24,30.0,989.19,30.0,0.85,25.6,30.0,-1.03,30.0,11.2,30.0
2001-07-01,-6.47,31.0,993.6,31.0,1.24,38.3,31.0,-1.61,31.0,10.32,31.0
2001-08-01,-5.67,31.0,975.35,31.0,2.77,86.0,31.0,-1.73,31.0,17.39,31.0
2001-09-01,-5.07,30.0,986.95,30.0,2.92,87.7,30.0,-1.76,30.0,14.73,30.0
2001-10-01,-2.28,31.0,976.53,31.0,7.59,235.3,31.0,-1.72,31.0,17.52,31.0
2001-11-01,-1.06,30.0,974.18,30.0,4.27,128.0,30.0,-1.34,30.0,13.47,30.0
2001-12-01,0.91,31.0,976.95,31.0,2.59,80.3,31.0,-0.24,31.0,12.35,31.0
2002-01-01,2.03,31.0,983.85,31.0,2.58,80.0,31.0,1.44,31.0,8.23,31.0
2002-02-01,1.63,28.0,981.6,28.0,5.03,140.9,28.0,0.53,28.0,10.5,28.0
2002-03-01,-0.29,31.0,988.92,31.0,1.09,33.9,31.0,0.49,31.0,6.13,31.0
2002-04-01,0.2,30.0,983.12,30.0,1.67,50.2,30.0,0.07,30.0,11.3,30.0
2002-05-01,-4.75,31.0,991.6,31.0,1.44,44.7,31.0,-0.94,31.0,7.81,31.0
2002-06-01,-8.66,30.0,988.31,30.0,1.27,38.0,30.0,-1.55,30.0,11.23,30.0
2002-07-01,-7.62,31.0,991.18,31.0,3.85,119.5,31.0,-1.69,31.0,9.68,31.0
2002-08-01,-6.75,31.0,996.43,31.0,1.61,50.0,31.0,-1.72,31.0,9.42,31.0
2002-09-01,-2.72,30.0,998.98,30.0,1.63,48.8,30.0,-1.24,30.0,6.93,30.0
2002-10-01,-4.53,31.0,984.49,31.0,1.88,58.4,31.0,-1.45,31.0,11.84,31.0
2002-11-01,-1.21,30.0,986.42,30.0,0.9,26.9,30.0,-0.75,30.0,6.2,30.0
2002-12-01,1.55,31.0,984.73,31.0,2.61,80.9,31.0,0.08,31.0,8.03,31.0
2003-01-01,2.99,31.0,988.84,31.0,0.69,21.3,31.0,1.14,31.0,4.65,31.0
2003-02-01,2.29,28.0,981.49,28.0,2.52,70.7,28.0,0.99,28.0,10.32,28.0
2003-03-01,0.32,31.0,993.65,31.0,2.66,82.6,31.0,0.43,31.0,9.77,31.0
2003-04-01,-0.61,30.0,989.68,30.0,2.72,81.7,30.0,-0.17,30.0,9.07,30.0
2003-05-01,-2.44,31.0,987.74,31.0,2.09,64.7,31.0,-1.06,31.0,10.55,31.0
2003-06-01,-4.54,30.0,996.29,30.0,2.19,65.8,30.0,-1.51,30.0,8.03,30.0
2003-07-01,-3.07,31.0,980.59,31.0,2.91,90.2,31.0,-1.69,31.0,15.81,31.0
2003-08-01,-1.85,31.0,982.22,31.0,3.58,110.9,31.0,-1.74,31.0,17.65,31.0
2003-09-01,-4.24,30.0,987.82,30.0,2.98,89.5,30.0,-1.51,30.0,14.73,30.0
2003-10-01,-2.78,31.0,982.81,31.0,1.74,53.8,31.0,-1.5,30.0,10.48,31.0
2003-11-01,-0.91,30.0,983.5,30.0,0.54,16.3,30.0,-0.74,29.0,9.23,30.0
2003-12-01,0.72,31.0,994.58,31.0,0.14,4.3,31.0,0.85,31.0,5.45,31.0
2004-01-01,2.69,31.0,984.97,31.0,0.73,22.7,31.0,1.67,31.0,8.84,31.0
2004-02-01,2.01,29.0,995.77,29.0,3.07,89.0,29.0,0.88,29.0,8.52,29.0
2004-03-01,1.38,31.0,986.12,31.0,2.37,73.4,31.0,0.82,31.0,10.1,31.0
2004-04-01,-0.31,30.0,990.72,30.0,2.23,66.8,30.0,-0.04,30.0,6.47,30.0
2004-05-01,-2.32,31.0,992.28,31.0,2.96,91.7,31.0,-0.81,31.0,9.84,31.0
2004-06-01,-2.81,30.0,987.89,30.0,0.49,14.8,30.0,-1.24,30.0,8.27,30.0
2004-07-01,-3.4,31.0,988.06,31.0,0.82,25.4,31.0,-1.59,31.0,11.42,31.0
2004-08-01,-6.9,31.0,989.55,31.0,0.78,24.2,31.0,-1.65,31.0,12.74,31.0
2004-09-01,-6.83,30.0,978.06,30.0,0.87,26.2,30.0,-1.63,30.0,10.17,30.0
2004-10-01,-4.23,31.0,987.49,31.0,1.65,51.3,31.0,-1.57,31.0,10.84,31.0
2004-11-01,0.01,30.0,991.95,30.0,1.63,49.0,30.0,-0.93,30.0,9.8,30.0
2004-12-01,1.29,31.0,990.2,31.0,1.17,36.2,31.0,-0.42,31.0,6.16,31.0
2005-01-01,1.55,31.0,985.45,31.0,1.51,46.8,31.0,0.46,31.0,5.65,31.0
