Date,Mean Temperature (C),Temperature Count,Mean Pressure (mbar),Pressure Count,Mean Precipitation (mm),Precipitation Count
1984-02-01,2.8,,,,,
1984-03-01,1.4,,,,,
1984-04-01,-1.7,,,,,
1984-05-01,-3.3,,,,,
1984-06-01,-6.7,,,,,
1984-07-01,-7.4,,,,,
1984-08-01,-6.7,,,,,
1984-09-01,-3.4,,,,,
1984-10-01,-3.3,,,,,
1984-11-01,0.9,,,,,
1984-12-01,3.7,,,,,
1985-01-01,4.2,,,,,
1985-02-01,3.7,,,,,
1985-03-01,0.9,,,,,
1985-04-01,0.0,,,,,
1985-05-01,-4.3,,,,,
1985-06-01,-3.7,,,,,
1985-07-01,-5.9,,,,,
1985-08-01,-5.9,,,,,
1985-09-01,-1.4,,,,,
1985-10-01,-0.7,,,,,
1985-11-01,2.5,,,,,
1985-12-01,3.7,,,,,
1986-01-01,5.2,,,,,
1986-02-01,3.9,,,,,
1986-03-01,3.3,,,,,
1986-04-01,-0.4,,,,,
1986-05-01,-4.7,,,,,
1986-06-01,-4.5,,,,,
1986-07-01,-6.9,,,,,
1986-08-01,-9.1,,,,,
1986-09-01,-9.0,,,,,
1986-10-01,-2.8,,,,,
1986-11-01,,,,,,
1986-12-01,,,,,,
1987-01-01,,,,,,
1987-02-01,1.9,,,,,
1987-03-01,,,,,,
1987-04-01,-1.9,,,,,
1987-05-01,-2.8,,,,,
1987-06-01,-7.1,,,,,
1987-07-01,,,,,,
1987-08-01,-7.8,,,,,
1987-09-01,-9.9,,,,,
1987-10-01,-1.4,,,,,
1987-11-01,0.8,,,,,
1987-12-01,1.8,,,,,
1988-01-01,2.3,,,,,
1988-02-01,2.7,,,,,
1988-03-01,1.2,,,,,
1988-04-01,-0.1,,,,,
1988-05-01,-1.3,,,,,
1988-06-01,-2.9,,,,,
1988-07-01,-3.0,,,,,
1988-08-01,-6.8,,,,,
1988-09-01,-2.2,,,,,
1988-10-01,0.0,,,,,
1988-11-01,,,,,,
1988-12-01,,,,,,
1989-01-01,,,,,,
1989-02-01,4.1,,,,,
1989-03-01,,,,,,
1989-04-01,-1.88,30.0,992.05,30.0,0.77 != 0.64,25.0 != 30.0
1989-05-01,-1.04,31.0,982.24,31.0,1.89 != 1.28,21.0 != 31.0
1989-06-01,-2.36,30.0,982.96,30.0,2.54 != 2.29,27.0 != 30.0
1989-07-01,-1.65,31.0,992.08,31.0,1.77 != 1.32,23.0 != 31.0
1989-08-01,-2.39,31.0,998.23,31.0,1.72 != 1.27,23.0 != 31.0
1989-09-01,-2.4,30.0,989.73,30.0,1.73 != 1.15,20.0 != 30.0
1989-10-01,-0.4,31.0,982.5,31.0,3.91 != 3.03,24.0 != 31.0
1989-11-01,1.1,30.0,984.09,30.0,1.37 != 0.82,18.0 != 30.0
1989-12-01,2.61,31.0,992.6,31.0,1.31 != 0.89,21.0 != 31.0
1990-01-01,3.64,31.0,992.4,31.0,1.67 != 1.45,27.0 != 31.0
1990-02-01,3.62,28.0,990.18,28.0,3.05 != 2.07,19.0 != 28.0
1990-03-01,1.87,31.0,983.86,31.0,3.0 != 2.42,25.0 != 31.0
1990-04-01,-2.5,30.0,992.1,30.0,0.84 != 0.56,20.0 != 30.0
1990-05-01,-3.01,31.0,1003.25,31.0,1.13 != 0.73,20.0 != 31.0
1990-06-01,-3.41,30.0,981.42,30.0,1.38 != 1.15,25.0 != 30.0
1990-07-01,-2.91,31.0,989.13,31.0,1.48 != 1.25,26.0 != 31.0
1990-08-01,-6.31,31.0,978.39,31.0,1.87 != 1.33,22.0 != 31.0
1990-09-01,-4.66,30.0,992.88,30.0,1.73 != 1.21,21.0 != 30.0
1990-10-01,-2.24,31.0,974.53,31.0,2.25 != 2.1,29.0 != 31.0
1990-11-01,-1.4,30.0,970.61,30.0,1.47 != 1.17,24.0 != 30.0
1990-12-01,1.59,31.0,986.33,31.0,1.96 != 1.83,29.0 != 31.0
1991-01-01,3.09,31.0,983.83,31.0,3.67 != 3.2,27.0 != 31.0
1991-02-01,2.59,28.0,989.61,28.0,1.79 != 1.6,25.0 != 28.0
1991-03-01,0.85,31.0,987.77,31.0,2.12 != 1.71,25.0 != 31.0
1991-04-01,-1.09,30.0,989.96,30.0,2.01 != 1.94,29.0 != 30.0
1991-05-01,-5.12,31.0,986.77,31.0,1.27 != 1.18,29.0 != 31.0
1991-06-01,-7.4,30.0,989.93,30.0,1.39 != 1.34,29.0 != 30.0
1991-07-01,-6.13,31.0,992.1,31.0,1.6 != 1.4,27.0 != 31.0
1991-08-01,-6.52,31.0,984.51,31.0,4.41 != 3.84,27.0 != 31.0
1991-09-01,-4.24,30.0,995.73,30.0,1.46 != 1.41,29.0 != 30.0
1991-10-01,-5.22,31.0,985.47,31.0,1.8 != 1.51,26.0 != 31.0
1991-11-01,-0.46,30.0,985.1 != 985.09,30.0,3.07 != 2.86,28.0 != 30.0
1991-12-01,1.44,31.0,997.65,31.0,0.06,29.0 != 31.0
1992-01-01,2.58,31.0,988.45,31.0,4.16 != 3.75,28.0 != 31.0
1992-02-01,1.28,29.0,985.13,29.0,3.31 != 3.08,27.0 != 29.0
1992-03-01,-0.34,31.0,989.09,31.0,2.95 != 2.57,27.0 != 31.0
1992-04-01,-0.86,30.0,992.47,30.0,4.75 != 4.43,28.0 != 30.0
1992-05-01,-5.8,31.0,998.04,31.0,1.57 != 1.21,24.0 != 31.0
1992-06-01,-8.08,30.0,1001.5,30.0,1.01 != 0.74,22.0 != 30.0
1992-07-01,-8.36,31.0,994.62,31.0,2.4,31.0
1992-08-01,-6.29,31.0,988.56,31.0,1.9 != 1.54,25.0 != 31.0
1992-09-01,-4.27,30.0,984.38,30.0,2.6 != 2.51,29.0 != 30.0
1992-10-01,-1.5,31.0,983.4,31.0,1.0 != 0.84,26.0 != 31.0
1992-11-01,0.12,30.0,991.47,30.0,2.78 != 2.41,26.0 != 30.0
1992-12-01,3.33,31.0,992.47,31.0,2.81 != 2.72,30.0 != 31.0
1993-01-01,3.18,31.0,995.13,31.0,2.04 != 1.58,24.0 != 31.0
1993-02-01,2.45,28.0,993.68,28.0,1.8 != 1.6,25.0 != 28.0
1993-03-01,-0.05,31.0,985.78,31.0,5.48 != 5.13,29.0 != 31.0
1993-04-01,-0.99,30.0,984.55,30.0,4.13 != 3.72,27.0 != 30.0
1993-05-01,-2.39,31.0,984.79,31.0,5.12,31.0
1993-06-01,-4.97,30.0,990.12,30.0,4.72 != 4.4,28.0 != 30.0
1993-07-01,-4.28,31.0,988.95,31.0,2.35 != 2.12,28.0 != 31.0
1993-08-01,-4.66,31.0,985.27,31.0,2.05 != 1.85,28.0 != 31.0
1993-09-01,-4.64,30.0,982.25,30.0,2.11 != 1.83,26.0 != 30.0
1993-10-01,-3.32,31.0,984.48,31.0,3.14 != 2.73,27.0 != 31.0
1993-11-01,0.79,30.0,980.12,30.0,3.67,30.0
1993-12-01,1.13,31.0,983.73,31.0,0.62 != 0.52,26.0 != 31.0
1994-01-01,2.15,31.0,983.6,31.0,3.01 != 2.82,29.0 != 31.0
1994-02-01,2.04,28.0,983.74,28.0,3.36 != 2.64,22.0 != 28.0
1994-03-01,0.83,31.0,991.82,31.0,3.11 != 2.91,29.0 != 31.0
1994-04-01,-0.8,30.0,992.04,30.0,2.09 != 1.95,28.0 != 30.0
1994-05-01,-3.19,31.0,994.69,31.0,0.2 != 0.18,27.0 != 31.0
1994-06-01,-4.58,30.0,993.94,30.0,1.82 != 1.58,26.0 != 30.0
1994-07-01,-10.99,31.0,994.13,31.0,2.03 != 1.64,25.0 != 31.0
1994-08-01,-6.61,31.0,983.98,31.0,3.16 != 2.95,29.0 != 31.0
1994-09-01,-6.15,30.0,977.53,30.0,1.62 != 1.35,25.0 != 30.0
1994-10-01,-6.65,31.0,987.97,31.0,1.28 != 1.2,29.0 != 31.0
1994-11-01,1.72,30.0,990.03,30.0,3.09 != 2.78,27.0 != 30.0
1994-12-01,1.81,31.0,986.13,31.0,1.08 != 1.01,29.0 != 31.0
1995-01-01,3.47,31.0,988.81,31.0,2.73 != 2.64,30.0 != 31.0
1995-02-01,2.39,28.0,988.49,28.0,2.29,28.0
1995-03-01,0.06,31.0,982.36,31.0,1.82 != 1.65,28.0 != 31.0
1995-04-01,-0.14,30.0,987.97,30.0,3.01 != 2.91,29.0 != 30.0
1995-05-01,-2.47,31.0,990.23,31.0,1.8,31.0
1995-06-01,-5.98,30.0,988.78,30.0,1.37,30.0
1995-07-01,-8.48,31.0,988.15,31.0,1.49 != 1.35,28.0 != 31.0
1995-08-01,-12.43,31.0,992.9,31.0,1.67 != 1.56,29.0 != 31.0
1995-09-01,-8.24,30.0,984.65,30.0,2.55 != 2.46,29.0 != 30.0
1995-10-01,-2.72,31.0,989.38,31.0,2.12 != 1.98,29.0 != 31.0
1995-11-01,-1.37,30.0,980.31,30.0,1.23 != 1.19,29.0 != 30.0
1995-12-01,1.07,31.0,983.53,31.0,1.94 != 1.87,30.0 != 31.0
1996-01-01,2.4,31.0,988.94,31.0,2.71 != 2.53,29.0 != 31.0
1996-02-01,2.12,29.0,986.55,29.0,2.99 != 2.79,27.0 != 29.0
1996-03-01,1.24,31.0,982.91,31.0,2.37,31.0
1996-04-01,-1.1 != -1.09,30.0,994.54,30.0,2.27,30.0
1996-05-01,-1.41,31.0,982.39,31.0,2.04,31.0
1996-06-01,-3.32,30.0,991.43,30.0,1.14,30.0
1996-07-01,-4.91,31.0,987.01,31.0,1.68,31.0
1996-08-01,-5.66,31.0,987.74,31.0,1.0,31.0
1996-09-01,-1.43,30.0,990.09,30.0,2.96 != 2.86,29.0 != 30.0
1996-10-01,-2.37,31.0,981.69,31.0,1.89 != 1.7,28.0 != 31.0
1996-11-01,-0.42,30.0,974.54,30.0,1.76 != 1.29,22.0 != 30.0
1996-12-01,1.63,31.0,986.68,31.0,1.8 != 1.45,25.0 != 31.0
1997-01-01,2.85,31.0,985.47,31.0,1.21 != 1.01,26.0 != 31.0
1997-02-01,1.74,28.0,991.27,28.0,2.87 != 2.67,26.0 != 28.0
1997-03-01,0.45,31.0,988.46,31.0,2.9 != 2.52,27.0 != 31.0
1997-04-01,-1.48,30.0,983.49,30.0,2.14 != 1.93,27.0 != 30.0
1997-05-01,-2.51,31.0,997.11,31.0,1.58 != 1.53,30.0 != 31.0
1997-06-01,-3.76,30.0,1000.86,30.0,1.95 != 1.82,28.0 != 30.0
1997-07-01,-7.79,31.0,987.07,31.0,2.03 != 1.9,29.0 != 31.0
1997-08-01,-6.86,31.0,982.33,31.0,1.94 != 1.69,27.0 != 31.0
1997-09-01,-8.65,30.0,992.42,30.0,1.58 != 1.37,26.0 != 30.0
1997-10-01,-2.85,31.0,987.65,31.0,2.08 != 1.95,29.0 != 31.0
1997-11-01,-1.63,30.0,994.67,30.0,1.52 != 1.37,27.0 != 30.0
1997-12-01,1.53,31.0,996.33,31.0,0.7 != 0.68,30.0 != 31.0
1998-01-01,2.94,31.0,982.89,31.0,1.8 != 1.74,30.0 != 31.0
1998-02-01,2.07,28.0,992.57,28.0,4.19,28.0
1998-03-01,1.04,31.0,988.04,31.0,2.09,31.0
1998-04-01,0.49,30.0,990.63,30.0,4.41,30.0
1998-05-01,-2.77,31.0,999.25,31.0,2.22,31.0
1998-06-01,-1.03,30.0,993.1,30.0,2.52,30.0
1998-07-01,-3.56,31.0,974.18,31.0,1.29,31.0
1998-08-01,-4.86,31.0,981.49,31.0,1.3,31.0
1998-09-01,-5.49,30.0,986.39,30.0,1.78,30.0
1998-10-01,-1.59,31.0,976.71,31.0,1.12 != 0.94,26.0 != 31.0
1998-11-01,-0.08,30.0,980.69,30.0,1.43 != 1.28,27.0 != 30.0
1998-12-01,1.2,31.0,980.3,31.0,0.88 != 0.85,30.0 != 31.0
1999-01-01,2.44,31.0,986.21,31.0,2.58,31.0
1999-02-01,2.15,28.0,980.32,28.0,3.22,28.0
1999-03-01,1.56,31.0,991.04,31.0,4.78 != 4.47,29.0 != 31.0
1999-04-01,0.25,30.0,983.66,30.0,4.98 != 4.48,27.0 != 30.0
1999-05-01,-0.62,31.0,988.76,31.0,1.58 != 1.43,28.0 != 31.0
1999-06-01,-3.83,30.0,994.06,30.0,1.72 != 1.66,29.0 != 30.0
1999-07-01,-3.64,31.0,985.4,31.0,2.99 != 2.61,27.0 != 31.0
1999-08-01,-8.12,31.0,987.58,31.0,1.5 != 1.25,26.0 != 31.0
1999-09-01,-6.82,30.0,989.09,30.0,2.42 != 1.94,24.0 != 30.0
1999-10-01,-2.18,31.0,982.7,31.0,1.41 != 1.36,30.0 != 31.0
1999-11-01,-0.03,30.0,982.96,30.0,3.22 != 2.79,26.0 != 30.0
1999-12-01,1.06,31.0,979.31,31.0,2.29 != 2.06,28.0 != 31.0
2000-01-01,1.68,31.0,977.74,31.0,1.87 != 1.75,29.0 != 31.0
2000-02-01,1.81,29.0,992.19,29.0,2.77,29.0
2000-03-01,0.8,31.0,999.26,31.0,2.69 != 2.26,26.0 != 31.0
2000-04-01,-0.53,30.0,983.3,30.0,4.45 != 4.16,28.0 != 30.0
2000-05-01,-2.06,31.0,994.06,31.0,2.79 != 2.7,30.0 != 31.0
2000-06-01,-2.83,30.0,992.06,30.0,2.37 != 2.13,27.0 != 30.0
2000-07-01,-3.24,31.0,1000.82,31.0,0.94 != 0.82,27.0 != 31.0
2000-08-01,-5.42,31.0,988.35,31.0,1.01 != 0.88,27.0 != 31.0
2000-09-01,-6.8,30.0,998.68,30.0,1.17 != 0.93,24.0 != 30.0
2000-10-01,-1.36,31.0,985.59,31.0,2.09 != 1.69,25.0 != 31.0
2000-11-01,-0.32,30.0,991.18,30.0,1.69 != 1.52,27.0 != 30.0
2000-12-01,1.89,31.0,986.09,31.0,0.37 != 0.33,27.0 != 31.0
2001-01-01,2.53,31.0,985.86,31.0,0.84 != 0.7,26.0 != 31.0
2001-02-01,2.65,28.0,985.67,28.0,1.5 != 1.13,21.0 != 28.0
2001-03-01,1.62,31.0,982.83,31.0,2.73 != 2.47,28.0 != 31.0
2001-04-01,-1.55,30.0,983.08,30.0,2.43 != 2.27,28.0 != 30.0
2001-05-01,-0.17,31.0,993.51,31.0,1.18 != 1.11,29.0 != 31.0
2001-06-01,-4.24,30.0,989.19,30.0,1.02 != 0.85,25.0 != 30.0
2001-07-01,-6.47,31.0,993.6,31.0,1.24,31.0
2001-08-01,-5.67,31.0,975.35,31.0,2.77,31.0
2001-09-01,-5.07,30.0,986.95,30.0,3.13 != 2.92,28.0 != 30.0
2001-10-01,-2.28,31.0,976.53,31.0,7.59,31.0
2001-11-01,-1.06,30.0,974.18,30.0,4.57 != 4.27,28.0 != 30.0
2001-12-01,0.91,31.0,976.95,31.0,2.87 != 2.59,28.0 != 31.0
2002-01-01,2.03,31.0,983.85,31.0,2.76 != 2.58,29.0 != 31.0
2002-02-01,1.63,28.0,981.6,28.0,5.22 != 5.03,27.0 != 28.0
2002-03-01,-0.29,31.0,988.92,31.0,1.41 != 1.09,24.0 != 31.0
2002-04-01,0.2,30.0,983.12,30.0,1.79 != 1.67,28.0 != 30.0
2002-05-01,-4.75,31.0,991.6,31.0,1.6 != 1.44,28.0 != 31.0
2002-06-01,-8.66,30.0,988.31,30.0,1.41 != 1.27,27.0 != 30.0
2002-07-01,-7.62,31.0,991.18,31.0,3.98 != 3.85,30.0 != 31.0
2002-08-01,-6.75,31.0,996.43,31.0,1.72 != 1.61,29.0 != 31.0
2002-09-01,-2.72,30.0,998.98,30.0,1.63,30.0
2002-10-01,-4.53,31.0,984.49,31.0,2.16 != 1.88,27.0 != 31.0
2002-11-01,-1.21,30.0,986.42,30.0,1.0 != 0.9,27.0 != 30.0
2002-12-01,1.55,31.0,984.73,31.0,2.79 != 2.61,29.0 != 31.0
2003-01-01,2.99,31.0,988.84,31.0,0.73 != 0.69,29.0 != 31.0
2003-02-01,2.29,28.0,981.49,28.0,2.83 != 2.52,25.0 != 28.0
2003-03-01,0.32,31.0,993.65,31.0,3.06 != 2.66,27.0 != 31.0
2003-04-01,-0.61,30.0,989.68,30.0,2.92 != 2.72,28.0 != 30.0
2003-05-01,-2.44,31.0,987.74,31.0,2.16 != 2.09,30.0 != 31.0
2003-06-01,-4.54,30.0,996.29,30.0,2.19,30.0
2003-07-01,-3.07,31.0,980.59,31.0,3.11 != 2.91,29.0 != 31.0
2003-08-01,-1.85,31.0,982.22,31.0,3.58,31.0
2003-09-01,-4.24,30.0,987.82,30.0,3.2 != 2.98,28.0 != 30.0
2003-10-01,-2.78,31.0,982.81,31.0,1.92 != 1.74,28.0 != 31.0
2003-11-01,-0.91,30.0,983.5,30.0,0.58 != 0.54,28.0 != 30.0
2003-12-01,0.72,31.0,994.58,31.0,0.14,31.0
2004-01-01,2.69,31.0,984.97,31.0,0.73,31.0
2004-02-01,2.01,29.0,995.77,29.0,3.07,29.0
2004-03-01,1.38,31.0,986.12,31.0,2.37,31.0
2004-04-01,-0.31,30.0,990.72,30.0,2.23,30.0
2004-05-01,-2.32,31.0,992.28,31.0,2.96,31.0
2004-06-01,-2.81,30.0,987.89,30.0,0.49,30.0
2004-07-01,-3.4,31.0,988.06,31.0,0.82,31.0
2004-08-01,-6.9,31.0,989.55,31.0,0.78,31.0
2004-09-01,-6.83,30.0,978.06,30.0,0.87,30.0
2004-10-01,-4.23,31.0,987.49,31.0,1.65,31.0
2004-11-01,0.01,30.0,991.95,30.0,1.63,30.0
2004-12-01,1.29,31.0,990.2,31.0,1.17,31.0
2005-01-01,1.55,31.0,985.45,31.0,1.51,31.0
2005-02-01,1.55,28.0,983.9,28.0,4.08,28.0
2005-03-01,0.49,31.0,987.88,31.0,2.24,31.0
2005-04-01,-1.05,30.0,982.17,30.0,1.01,30.0
2005-05-01,-2.76,31.0,993.4,31.0,0.89,31.0
2005-06-01,-5.73,30.0,995.8,30.0,0.47,30.0
2005-07-01,-5.73,31.0,995.94,31.0,1.0,31.0
2005-08-01,-6.08,31.0,990.85,31.0,1.0,31.0
2005-09-01,-2.68,30.0,998.21,30.0,0.67,30.0
2005-10-01,-1.42,31.0,989.98,31.0,1.4,31.0
2005-11-01,0.16,30.0,991.27,30.0,0.46,30.0
2005-12-01,0.44,31.0,993.72,30.0,0.67,31.0
2006-01-01,2.35,31.0,990.88,31.0,0.8,31.0
2006-02-01,2.85,28.0,994.27,28.0,1.16,28.0
2006-03-01,2.34,31.0,976.85,31.0,3.16,31.0
2006-04-01,-0.07,22.0,991.24,22.0,1.12,30.0
2006-05-01,-1.42,31.0,985.03,31.0,2.09,31.0
2006-06-01,-2.92,30.0,996.7,30.0,1.59,30.0
2006-07-01,-4.31,31.0,992.48,31.0,1.04,31.0
2006-08-01,-6.21,31.0,999.22,31.0,0.59,31.0
2006-09-01,-5.45,30.0,988.98,30.0,1.72,30.0
2006-10-01,-0.52,31.0,987.8,31.0,1.5,31.0
2006-11-01,-0.46,30.0,980.61,30.0,0.67,30.0
2006-12-01,2.31,31.0,983.03,31.0,0.87,31.0
2007-01-01,2.73,31.0,990.53,31.0,0.7,31.0
2007-02-01,1.96,28.0,987.02,28.0,1.82,28.0
2007-03-01,0.05,31.0,987.54,31.0,0.83,31.0
2007-04-01,-1.93,30.0,989.71,30.0,1.55,30.0
2007-05-01,-2.07,31.0,997.55,31.0,0.89,31.0
2007-06-01,-4.32,30.0,990.5,30.0,0.4,30.0
2007-07-01,-6.52,31.0,992.73,31.0,0.53,31.0
2007-08-01,-4.55,31.0,984.24,31.0,0.93,31.0
2007-09-01,-2.35,30.0,993.91,30.0,1.9,30.0
2007-10-01,-2.65,31.0,981.85,31.0,0.77,31.0
2007-11-01,-0.79,30.0,989.15,30.0,0.64,30.0
2007-12-01,1.17,31.0,982.7,31.0,1.44,31.0
2008-01-01,2.16,31.0,985.5,31.0,2.66,31.0
2008-02-01,2.22,29.0,986.41,29.0,1.44,29.0
2008-03-01,1.27,31.0,988.1,31.0,2.66,31.0
2008-04-01,-0.49 != -0.84,27.0 != 30.0,983.49 != 984.3,27.0 != 30.0,2.23 != 2.01,27.0 != 30.0
2008-05-01,-0.88,31.0,989.53,31.0,2.01,31.0
2008-06-01,-1.89,30.0,989.79,30.0,1.42,30.0
2008-07-01,-3.93,31.0,993.78,31.0,0.76,31.0
2008-08-01,-7.11,31.0,988.04,31.0,0.25,31.0
2008-09-01,-1.04,30.0,995.92,30.0,2.77,30.0
2008-10-01,-0.58,31.0,981.51,31.0,1.26,31.0
2008-11-01,0.59,30.0,980.82,30.0,1.94,30.0
2008-12-01,0.72,31.0,979.72,31.0,1.81,31.0
2009-01-01,, != 0.0,, != 0.0,, != 0.0
2009-02-01,2.3,28.0,985.2,28.0,1.81,28.0
2009-03-01, != 1.83, != 31.0, != 985.35, != 31.0, != 2.57, != 31.0
2009-04-01,-1.58,30.0,989.42,30.0,0.71,30.0
2009-05-01,-0.99,31.0,984.53,31.0,1.61,31.0
2009-06-01,-3.98,30.0,986.89,30.0,0.06,30.0
2009-07-01,-6.13,31.0,991.92,31.0,0.63,31.0
2009-08-01,-3.83,31.0,999.55,31.0,0.1,31.0
2009-09-01,-4.43,30.0,986.38,30.0,0.69,30.0
2009-10-01,-2.86,31.0,975.06,31.0,0.64,8.0
2009-11-01,-1.27,30.0,984.5,30.0,0.0 != ,0.0
2009-12-01,1.54,31.0,985.94,31.0,1.22,31.0
2010-01-01,1.76,31.0,989.31,31.0,0.39,31.0
2010-02-01,1.79,28.0,993.02,28.0,1.51,28.0
2010-03-01,0.77,31.0,985.54,31.0,1.12,31.0
2010-04-01,-0.83,30.0,982.67,30.0,3.75,30.0
2010-05-01,-1.52,31.0,982.92,31.0,2.23,31.0
2010-06-01,-1.82,30.0,983.52,30.0,1.68,30.0
2010-07-01,-4.44,31.0,990.06,31.0,1.85,31.0
2010-08-01,-3.9,31.0,988.62,31.0,0.59,31.0
2010-09-01,-2.34,30.0,988.12,30.0,1.03,30.0
2010-10-01,-0.19,31.0,980.65,31.0,2.79,31.0
2010-11-01,0.85,30.0,983.17,30.0,2.78,30.0
2010-12-01,1.43,31.0,980.07,31.0,0.1,31.0
2011-01-01,2.12,31.0,991.33,31.0,0.65,31.0
2011-02-01,2.43,28.0,985.95,28.0,2.89,28.0
2011-03-01,0.13,31.0,989.32,31.0,1.16,31.0
2011-04-01,-1.9,30.0,985.0,30.0,0.27,30.0
2011-05-01,-1.42,31.0,985.89,31.0,1.61,31.0
2011-06-01,-4.15,30.0,990.45,30.0,0.68,30.0
2011-07-01,-6.36,31.0,998.23,31.0,0.61,31.0
2011-08-01,-7.16,31.0,1003.03,31.0,0.51,31.0
2011-09-01,-5.75,30.0,991.75,30.0,0.86,30.0
2011-10-01,-2.01,31.0,983.94,31.0,1.8,31.0
2011-11-01,0.16,30.0,985.6,30.0,1.29,30.0
2011-12-01,1.55,31.0,983.82,31.0,2.45,31.0
2012-01-01,1.14,31.0,984.26,31.0,2.28,31.0
2012-02-01,0.95,29.0,982.83,29.0,1.27,29.0
2012-03-01,1.35,31.0,987.99,31.0,1.48,31.0
2012-04-01,-0.84,30.0,992.98,30.0,0.8,30.0
2012-05-01,-0.47,31.0,990.73,31.0,0.71,31.0
2012-06-01,-5.01,30.0,975.2,30.0,1.09,30.0
2012-07-01,-3.42,31.0,986.03,31.0,0.75,31.0
2012-08-01,-3.29,31.0,984.77,31.0,0.93,31.0
2012-09-01,-3.13,30.0,991.75,30.0,1.21,30.0
2012-10-01,-4.0,31.0,981.07,31.0,0.86,31.0
2012-11-01,-1.36,30.0,984.44,30.0,0.47,30.0
2012-12-01,0.94,31.0,992.79,31.0,0.07,31.0
2013-01-01,2.28,31.0,987.18,31.0,2.72,31.0
